Item,experiment,run,sample,study,stage,comment,gender,state
14812_3_10,ERX1399779,ERR1328159,ERS1085231,ERP014584,D18,F2,F,U
14812_3_10,ERX1399756,ERR1328136,ERS1085231,ERP014584,D18,F2,F,U
14812_3_11,ERX1399780,ERR1328160,ERS1085232,ERP014584,D18,M2,M,U
14812_3_11,ERX1399757,ERR1328137,ERS1085232,ERP014584,D18,M2,M,U
14812_3_12,ERX1399781,ERR1328161,ERS1085233,ERP014584,D21,F1,F,U
14812_3_12,ERX1399758,ERR1328138,ERS1085233,ERP014584,D21,F1,F,U
14812_3_13,ERX1399782,ERR1328162,ERS1085234,ERP014584,D21,F5,F,U
14812_3_13,ERX1399759,ERR1328139,ERS1085234,ERP014584,D21,F5,F,U
14812_3_14,ERX1399783,ERR1328163,ERS1085235,ERP014584,D21,M3,M,U
14812_3_14,ERX1399760,ERR1328140,ERS1085235,ERP014584,D21,M3,M,U
14812_3_15,ERX1399761,ERR1328141,ERS1085236,ERP014584,D21,P2F,F,P
14812_3_15,ERX1399784,ERR1328164,ERS1085236,ERP014584,D21,P2F,F,P
14812_3_16,ERX1399785,ERR1328165,ERS1085237,ERP014584,D21,P1M,M,P
14812_3_16,ERX1399762,ERR1328142,ERS1085237,ERP014584,D21,P1M,M,P
14812_3_17,ERX1399786,ERR1328166,ERS1085238,ERP014584,D21,P5M,M,P
14812_3_17,ERX1399763,ERR1328143,ERS1085238,ERP014584,D21,P5M,M,P
14812_3_18,ERX1399787,ERR1328167,ERS1085239,ERP014584,D28,F4,F,U
14812_3_18,ERX1399764,ERR1328144,ERS1085239,ERP014584,D28,F4,F,U
14812_3_19,ERX1399765,ERR1328145,ERS1085240,ERP014584,D28,M4,M,U
14812_3_19,ERX1399788,ERR1328168,ERS1085240,ERP014584,D28,M4,M,U
14812_3_2,ERX1399771,ERR1328151,ERS1085223,ERP014584,D35,P3F,F,P
14812_3_2,ERX1399748,ERR1328128,ERS1085223,ERP014584,D35,P3F,F,P
14812_3_20,ERX1399789,ERR1328169,ERS1085241,ERP014584,D28,P4F,F,P
14812_3_20,ERX1399766,ERR1328146,ERS1085241,ERP014584,D28,P4F,F,P
14812_3_21,ERX1399790,ERR1328170,ERS1085242,ERP014584,D28,P3M,M,P
14812_3_21,ERX1399767,ERR1328147,ERS1085242,ERP014584,D28,P3M,M,P
14812_3_22,ERX1399768,ERR1328148,ERS1085243,ERP014584,D35,F1,F,U
14812_3_22,ERX1399791,ERR1328171,ERS1085243,ERP014584,D35,F1,F,U
14812_3_23,ERX1399769,ERR1328149,ERS1085244,ERP014584,D35,M1,M,U
14812_3_23,ERX1399792,ERR1328172,ERS1085244,ERP014584,D35,M1,M,U
14812_3_24,ERX1399793,ERR1328173,ERS1085245,ERP014584,D35,M5,M,U
14812_3_24,ERX1399770,ERR1328150,ERS1085245,ERP014584,D35,M5,M,U
14812_3_3,ERX1399772,ERR1328152,ERS1085224,ERP014584,D35,P3M,M,P
14812_3_3,ERX1399749,ERR1328129,ERS1085224,ERP014584,D35,P3M,M,P
14812_3_4,ERX1399773,ERR1328153,ERS1085225,ERP014584,D38,F4,F,U
14812_3_4,ERX1399750,ERR1328130,ERS1085225,ERP014584,D38,F4,F,U
14812_3_5,ERX1399774,ERR1328154,ERS1085226,ERP014584,D38,M2_1,M,U
14812_3_5,ERX1399751,ERR1328131,ERS1085226,ERP014584,D38,M2_1,M,U
14812_3_6,ERX1399775,ERR1328155,ERS1085227,ERP014584,D38,M4,M,U
14812_3_6,ERX1399752,ERR1328132,ERS1085227,ERP014584,D38,M4,M,U
14812_3_7,ERX1399776,ERR1328156,ERS1085228,ERP014584,D38,P2F,F,P
14812_3_7,ERX1399753,ERR1328133,ERS1085228,ERP014584,D38,P2F,F,P
14812_3_8,ERX1399777,ERR1328157,ERS1085229,ERP014584,D38,P2M,M,P
14812_3_8,ERX1399754,ERR1328134,ERS1085229,ERP014584,D38,P2M,M,P
14812_3_9,ERX1399778,ERR1328158,ERS1085230,ERP014584,NA,NA,NA,NA
14812_3_9,ERX1399755,ERR1328135,ERS1085230,ERP014584,NA,NA,NA,NA
14895_3_1,ERX1399818,ERR1328198,ERS1085199,ERP014584,D18,F1,F,U
14895_3_1,ERX1399794,ERR1328174,ERS1085199,ERP014584,D18,F1,F,U
14895_3_10,ERX1399827,ERR1328207,ERS1085208,ERP014584,D28,M2,M,U
14895_3_10,ERX1399803,ERR1328183,ERS1085208,ERP014584,D28,M2,M,U
14895_3_11,ERX1399804,ERR1328184,ERS1085209,ERP014584,D28,P3F,F,P
14895_3_11,ERX1399828,ERR1328208,ERS1085209,ERP014584,D28,P3F,F,P
14895_3_12,ERX1399805,ERR1328185,ERS1085210,ERP014584,D28,P1M,M,P
14895_3_12,ERX1399829,ERR1328209,ERS1085210,ERP014584,D28,P1M,M,P
14895_3_13,ERX1399806,ERR1328186,ERS1085211,ERP014584,D28,P5M,M,P
14895_3_13,ERX1399830,ERR1328210,ERS1085211,ERP014584,D28,P5M,M,P
14895_3_14,ERX1399807,ERR1328187,ERS1085212,ERP014584,D35,F5,F,U
14895_3_14,ERX1399831,ERR1328211,ERS1085212,ERP014584,D35,F5,F,U
14895_3_15,ERX1399808,ERR1328188,ERS1085213,ERP014584,D35,M3,M,U
14895_3_15,ERX1399832,ERR1328212,ERS1085213,ERP014584,D35,M3,M,U
14895_3_16,ERX1399833,ERR1328213,ERS1085214,ERP014584,D35,P2F,F,P
14895_3_16,ERX1399809,ERR1328189,ERS1085214,ERP014584,D35,P2F,F,P
14895_3_17,ERX1399810,ERR1328190,ERS1085215,ERP014584,D35,P2M,M,P
14895_3_17,ERX1399834,ERR1328214,ERS1085215,ERP014584,D35,P2M,M,P
14895_3_18,ERX1399835,ERR1328215,ERS1085216,ERP014584,D38,F2,F,U
14895_3_18,ERX1399811,ERR1328191,ERS1085216,ERP014584,D38,F2,F,U
14895_3_19,ERX1399836,ERR1328216,ERS1085217,ERP014584,D38,M1,M,U
14895_3_19,ERX1399812,ERR1328192,ERS1085217,ERP014584,D38,M1,M,U
14895_3_2,ERX1399795,ERR1328175,ERS1085200,ERP014584,D18,M1,M,U
14895_3_2,ERX1399819,ERR1328199,ERS1085200,ERP014584,D18,M1,M,U
14895_3_20,ERX1399837,ERR1328217,ERS1085218,ERP014584,D38,M3,M,U
14895_3_20,ERX1399813,ERR1328193,ERS1085218,ERP014584,D38,M3,M,U
14895_3_21,ERX1399838,ERR1328218,ERS1085219,ERP014584,D38,P1F,F,P
14895_3_21,ERX1399814,ERR1328194,ERS1085219,ERP014584,D38,P1F,F,P
14895_3_22,ERX1399839,ERR1328219,ERS1085220,ERP014584,D38,P1M,M,P
14895_3_22,ERX1399815,ERR1328195,ERS1085220,ERP014584,D38,P1M,M,P
14895_3_23,ERX1399816,ERR1328196,ERS1085221,ERP014584,NA,NA,NA,NA
14895_3_23,ERX1399840,ERR1328220,ERS1085221,ERP014584,NA,NA,NA,NA
14895_3_24,ERX1399841,ERR1328221,ERS1085222,ERP014584,NA,NA,NA,NA
14895_3_24,ERX1399817,ERR1328197,ERS1085222,ERP014584,NA,NA,NA,NA
14895_3_3,ERX1399796,ERR1328176,ERS1085201,ERP014584,D21,F1,F,U
14895_3_3,ERX1399820,ERR1328200,ERS1085201,ERP014584,D21,F1,F,U
14895_3_4,ERX1399797,ERR1328177,ERS1085202,ERP014584,D21,F3,F,U
14895_3_4,ERX1399821,ERR1328201,ERS1085202,ERP014584,D21,F3,F,U
14895_3_5,ERX1399822,ERR1328202,ERS1085203,ERP014584,D21,M2,M,U
14895_3_5,ERX1399798,ERR1328178,ERS1085203,ERP014584,D21,M2,M,U
14895_3_6,ERX1399799,ERR1328179,ERS1085204,ERP014584,D21,P1F,F,P
14895_3_6,ERX1399823,ERR1328203,ERS1085204,ERP014584,D21,P1F,F,P
14895_3_7,ERX1399800,ERR1328180,ERS1085205,ERP014584,D21,P5F,F,P
14895_3_7,ERX1399824,ERR1328204,ERS1085205,ERP014584,D21,P5F,F,P
14895_3_8,ERX1399801,ERR1328181,ERS1085206,ERP014584,D21,P3M,M,P
14895_3_8,ERX1399825,ERR1328205,ERS1085206,ERP014584,D21,P3M,M,P
14895_3_9,ERX1399826,ERR1328206,ERS1085207,ERP014584,D28,F3,F,U
14895_3_9,ERX1399802,ERR1328182,ERS1085207,ERP014584,D28,F3,F,U
14897_3_10,ERX1399850,ERR1328230,ERS1085254,ERP014584,D38,M2_2,M,U
14897_3_10,ERX1399873,ERR1328253,ERS1085254,ERP014584,D38,M2_2,M,U
14897_3_11,ERX1399874,ERR1328254,ERS1085255,ERP014584,D38,M5,M,U
14897_3_11,ERX1399851,ERR1328231,ERS1085255,ERP014584,D38,M5,M,U
14897_3_12,ERX1399852,ERR1328232,ERS1085256,ERP014584,D38,P45F,F,P
14897_3_12,ERX1399875,ERR1328255,ERS1085256,ERP014584,D38,P45F,F,P
14897_3_13,ERX1399876,ERR1328256,ERS1085257,ERP014584,D38,P45M,M,P
14897_3_13,ERX1399853,ERR1328233,ERS1085257,ERP014584,D38,P45M,M,P
14897_3_14,ERX1399877,ERR1328257,ERS1085258,ERP014584,NA,NA,NA,NA
14897_3_14,ERX1399854,ERR1328234,ERS1085258,ERP014584,NA,NA,NA,NA
14897_3_15,ERX1399878,ERR1328258,ERS1085259,ERP014584,NA,NA,NA,NA
14897_3_15,ERX1399855,ERR1328235,ERS1085259,ERP014584,NA,NA,NA,NA
14897_3_16,ERX1399879,ERR1328259,ERS1085260,ERP014584,D18,M3,M,U
14897_3_16,ERX1399856,ERR1328236,ERS1085260,ERP014584,D18,M3,M,U
14897_3_17,ERX1399880,ERR1328260,ERS1085261,ERP014584,D21,F2,F,U
14897_3_17,ERX1399857,ERR1328237,ERS1085261,ERP014584,D21,F2,F,U
14897_3_18,ERX1399858,ERR1328238,ERS1085262,ERP014584,D21,M1,M,U
14897_3_18,ERX1399881,ERR1328261,ERS1085262,ERP014584,D21,M1,M,U
14897_3_19,ERX1399859,ERR1328239,ERS1085263,ERP014584,D21,M5,M,U
14897_3_19,ERX1399882,ERR1328262,ERS1085263,ERP014584,D21,M5,M,U
14897_3_2,ERX1399865,ERR1328245,ERS1085246,ERP014584,D28,P5F,F,P
14897_3_2,ERX1399842,ERR1328222,ERS1085246,ERP014584,D28,P5F,F,P
14897_3_20,ERX1399883,ERR1328263,ERS1085264,ERP014584,D21,P3F,F,P
14897_3_20,ERX1399860,ERR1328240,ERS1085264,ERP014584,D21,P3F,F,P
14897_3_21,ERX1399884,ERR1328264,ERS1085265,ERP014584,D21,P2M,M,P
14897_3_21,ERX1399861,ERR1328241,ERS1085265,ERP014584,D21,P2M,M,P
14897_3_22,ERX1399862,ERR1328242,ERS1085266,ERP014584,D28,F1,F,U
14897_3_22,ERX1399885,ERR1328265,ERS1085266,ERP014584,D28,F1,F,U
14897_3_23,ERX1399863,ERR1328243,ERS1085267,ERP014584,D28,M1,M,U
14897_3_23,ERX1399886,ERR1328266,ERS1085267,ERP014584,D28,M1,M,U
14897_3_24,ERX1399887,ERR1328267,ERS1085268,ERP014584,D28,P1F,F,P
14897_3_24,ERX1399864,ERR1328244,ERS1085268,ERP014584,D28,P1F,F,P
14897_3_3,ERX1399866,ERR1328246,ERS1085247,ERP014584,D28,P4M,M,P
14897_3_3,ERX1399843,ERR1328223,ERS1085247,ERP014584,D28,P4M,M,P
14897_3_4,ERX1399844,ERR1328224,ERS1085248,ERP014584,D35,F3,F,U
14897_3_4,ERX1399867,ERR1328247,ERS1085248,ERP014584,D35,F3,F,U
14897_3_5,ERX1399845,ERR1328225,ERS1085249,ERP014584,D35,M2,M,U
14897_3_5,ERX1399868,ERR1328248,ERS1085249,ERP014584,D35,M2,M,U
14897_3_6,ERX1399869,ERR1328249,ERS1085250,ERP014584,D35,P1F,F,P
14897_3_6,ERX1399846,ERR1328226,ERS1085250,ERP014584,D35,P1F,F,P
14897_3_7,ERX1399870,ERR1328250,ERS1085251,ERP014584,D35,P1M,M,P
14897_3_7,ERX1399847,ERR1328227,ERS1085251,ERP014584,D35,P1M,M,P
14897_3_8,ERX1399848,ERR1328228,ERS1085252,ERP014584,D38,F1,F,U
14897_3_8,ERX1399871,ERR1328251,ERS1085252,ERP014584,D38,F1,F,U
14897_3_9,ERX1399849,ERR1328229,ERS1085253,ERP014584,D38,F5,F,U
14897_3_9,ERX1399872,ERR1328252,ERS1085253,ERP014584,D38,F5,F,U
